status	exit_code	elf	log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X1_Y2.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X1_Y2.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X1_Y4.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X1_Y4.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X2_Y2.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X2_Y2.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X2_Y4.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_2d_unroll_Sq512_Skv512_Tm128_Tk128_X2_Y4.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/fa/elf/kernel_fa/fa_HIF4_HIF4_BF16_Sq256_Skv512_Tm128_Tk128_X1_Y1.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_fa_elf_kernel_fa_fa_HIF4_HIF4_BF16_Sq256_Skv512_Tm128_Tk128_X1_Y1.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/gather/elf/kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs131072_gMs32_gNs256_tMs32_tNs128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_gather_elf_kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs131072_gMs32_gNs256_tMs32_tNs128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/gather/elf/kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs200000_gMs202_gNs97_tMs128_tNs128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_gather_elf_kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs200000_gMs202_gNs97_tMs128_tNs128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/gather/elf/kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs754_gMs640_gNs17_tMs128_tNs128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_gather_elf_kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs754_gMs640_gNs17_tMs128_tNs128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/gather/elf/kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs875000_gMs8192_gNs1_tMs128_tNs128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_gather_elf_kernel_gather_gather_DType__fp32_OTypeuint32_t_gKs875000_gMs8192_gNs1_tMs128_tNs128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_A16W4_B1_M256_N2048_K2048_tM128_tN128_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_A16W4_B1_M256_N2048_K2048_tM128_tN128_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_A16W4_B1_M512_N1280_K4096_tM128_tN128_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_A16W4_B1_M512_N1280_K4096_tM128_tN128_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_A16W4_B1_M512_N1280_K4096_tM128_tN256_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_A16W4_B1_M512_N1280_K4096_tM128_tN256_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_HIF4_HIF4_BASE_B1_M256_N2048_K2048_tM128_tN128_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_HIF4_HIF4_BASE_B1_M256_N2048_K2048_tM128_tN128_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_HIF4_HIF4_BASE_B1_M256_N2048_K2048_tM64_tN64_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_HIF4_HIF4_BASE_B1_M256_N2048_K2048_tM64_tN64_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_HIF4_HIF4_BASE_B1_M512_N1280_K4096_tM128_tN128_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_HIF4_HIF4_BASE_B1_M512_N1280_K4096_tM128_tN128_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_HIF4_HIF4_BASE_B1_M512_N1280_K4096_tM128_tN256_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_HIF4_HIF4_BASE_B1_M512_N1280_K4096_tM128_tN256_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_HIF4_HIF4_MX_NOGATHER_B1_M256_N2048_K2048_tM128_tN128_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_HIF4_HIF4_MX_NOGATHER_B1_M256_N2048_K2048_tM128_tN128_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_HIF4_HIF4_MX_NOGATHER_B1_M512_N1280_K4096_tM128_tN128_tK128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_HIF4_HIF4_MX_NOGATHER_B1_M512_N1280_K4096_tM128_tN128_tK128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP16_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP16_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP16_REUSEA_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP16_REUSEA_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP32_DYNAMIC_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP32_DYNAMIC_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP32_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP32_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP32_REUSEA_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP32_REUSEA_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP8_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP8_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/matmul/elf/kernel_matmul/matmul_MASK_MASK_FP8_REUSEA_M256_N256_K256_tM64_tN64_tK64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_matmul_elf_kernel_matmul_matmul_MASK_MASK_FP8_REUSEA_M256_N256_K256_tM64_tN64_tK64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/reduction/reducemax_col/elf/kernel_reduction_reducemax_col_reducemax_col_DType__half_tM32_tN128_GM8192_GN1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_reduction_reducemax_col_elf_kernel_reduction_reducemax_col_reducemax_col_DType__half_tM32_tN128_GM8192_GN1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/reduction/reducemax_col/elf/kernel_reduction_reducemax_col_reducemax_col_DTypeint32_t_tM32_tN128_GM8192_GN1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_reduction_reducemax_col_elf_kernel_reduction_reducemax_col_reducemax_col_DTypeint32_t_tM32_tN128_GM8192_GN1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/reduction/reducemax_row/elf/kernel_reduction_reducemax_row_reducemax_row_DTypeint32_t_tM32_tN128_GM1024_GN8192.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_reduction_reducemax_row_elf_kernel_reduction_reducemax_row_reducemax_row_DTypeint32_t_tM32_tN128_GM1024_GN8192.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/reduction/reducesum_col/elf/kernel_reduction_reducesum_col_reducesum_col_DType__half_tM32_tN128_GM8192_GN1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_reduction_reducesum_col_elf_kernel_reduction_reducesum_col_reducesum_col_DType__half_tM32_tN128_GM8192_GN1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/reduction/reducesum_col/elf/kernel_reduction_reducesum_col_reducesum_col_DTypeint32_t_tM32_tN128_GM8192_GN1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_reduction_reducesum_col_elf_kernel_reduction_reducesum_col_reducesum_col_DTypeint32_t_tM32_tN128_GM8192_GN1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/reduction/reducesum_row/elf/kernel_reduction_reducesum_row_reducesum_row_DTypeint32_t_tM16_tN512_GM16_GN1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_reduction_reducesum_row_elf_kernel_reduction_reducesum_row_reducesum_row_DTypeint32_t_tM16_tN512_GM16_GN1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/sort/elf/topk.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_sort_elf_topk.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DType__half_tM512_IN2_128_64_OUT2_64_128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DType__half_tM512_IN2_128_64_OUT2_64_128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DType__half_tM512_IN64_8_4096_3_OUT64_8_3_4096.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DType__half_tM512_IN64_8_4096_3_OUT64_8_3_4096.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DType__half_tM512_IN64_8_64_4_128_OUT64_8_128_4_64.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DType__half_tM512_IN64_8_64_4_128_OUT64_8_128_4_64.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DType__half_tM512_IN64_8_64_4_16_7_OUT64_8_16_4_64_7.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DType__half_tM512_IN64_8_64_4_16_7_OUT64_8_16_4_64_7.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DType__half_tM512_IN8_1024_2048_OUT8_2048_1024.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DType__half_tM512_IN8_1024_2048_OUT8_2048_1024.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DTypeint32_t_tM512_IN2_128_64_OUT2_64_128.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DTypeint32_t_tM512_IN2_128_64_OUT2_64_128.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DTypeint32_t_tM512_IN2_2_4_4_8_4_OUT2_2_8_4_4_4.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DTypeint32_t_tM512_IN2_2_4_4_8_4_OUT2_2_8_4_4_4.elf.log
PASS	0	/Users/liyi/Documents/GitHub/SuperNPUBench/output/kernel/transpose/elf/kernel_transpose/transpose_DTypeint32_t_tM512_IN64_8_4096_3_OUT64_8_3_4096.elf	/private/tmp/supernpubench_linxcoremodel_gfsim_m1/logs/kernel_transpose_elf_kernel_transpose_transpose_DTypeint32_t_tM512_IN64_8_4096_3_OUT64_8_3_4096.elf.log
